,238_frequency_buying_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,_title,_server_updated_at,_updated_by,_geometry,282_payment_method_that_purchase,283_fulfill_needs,300_did_not_find,237_distance_household_interviewee,299_means_transportation_consumer,238_frequency_buying_store,284_additional_products_store,301_electricity_bill,305_electricity_bill_store,302_water_bill,306_water_bill_store,303_gas_bill,307_gas_bill_store,286_topups,308_topups_in_store,287_wire_transfers,309_wiretransfers_in_store,320_other_services_in_store,304_additional_services_store,240_gender_interviewee,indicate_the_type_of_store,name_of_the_store,storefront_picture_just_once_if_possible
43,1.0,4.0,2.0,0.0,10.0,10.0,22.0,"November 9, 2022",2022-11-09 23:19:09 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671712175 19.0711626645),Efectivo,yes,0,más de 10 cuadras,Transporte público,1,0,En línea ,no,En línea ,no,Proveedor de gas,no,En línea ,yes,No lo hago,no,no,0,Male,Grocery store (aka. nanostore),La universitaria ,1 Photo
44,3.0,2.0,3.0,0.0,0.0,0.0,19.0,"November 9, 2022",2022-11-09 23:19:08 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671775877 19.0711556933),Efectivo,yes,0,más de 10 cuadras,Transporte público,3,0,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,0,Female,Grocery store (aka. nanostore),La universitaria ,1 Photo
45,2.0,3.0,10.0,0.0,50.0,50.0,22.0,"November 9, 2022",2022-11-09 23:19:08 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1676315516 19.0708949058),Efectivo,yes,0,0 a 3 cuadras,A pie,2,0,CFE,yes,Sistema de agua,yes,Proveedor de gas,yes,Banco,yes,Banco,yes,yes,Servicios ,Male,Micro-restaurant (aka. fondita),(No tiene nombre) ,1 Photo
46,2.0,6.0,5.0,0.0,40.0,40.0,20.0,"November 9, 2022",2022-11-09 23:19:07 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1676261872 19.0708980745),Efectivo,yes,0,7 a 10 cuadras,A pie,2,0,Supermercado,yes,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),yes,yes,Pago de servicios ,Male,Micro-restaurant (aka. fondita),(No tiene nombre) ,1 Photo
47,2.0,1.0,8.0,0.0,50.0,100.0,18.0,"November 9, 2022",2022-11-09 23:19:07 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1676328927 19.0708936383),Efectivo,yes,0,7 a 10 cuadras,Automóvil,2,0,CFE,no,Sistema de agua,no,Proveedor de gas,no,Banco,no,Banco,no,no,0,Male,Micro-restaurant (aka. fondita),(No tiene nombre),1 Photo
48,1.0,5.0,10.0,0.0,55.0,55.0,21.0,"November 9, 2022",2022-11-09 23:19:07 UTC,Amaranta Hernández,SRID=4326;POINT(-98.167602968 19.0706738863),Efectivo,yes,0,más de 10 cuadras,Automóvil,1,0,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,0,Male,Cafeteria,Sagrado juguito ,0
49,1.0,0.0,1.0,1.0,5.0,5.0,22.0,"November 9, 2022",2022-11-09 23:19:06 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671702117 19.0711531583),Efectivo,yes,0,0 a 3 cuadras,Transporte público,1,0,CFE,no,No lo hago,no,Proveedor de gas,no,No lo hago,no,No lo hago,no,no,0,Female,Grocery store (aka. nanostore),La universitaria ,1 Photo
50,1.0,0.0,3.0,0.0,100.0,100.0,21.0,"November 9, 2022",2022-11-09 23:19:05 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1670967862 19.0712510723),Efectivo,yes,0,más de 10 cuadras,Transporte público,1,0,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,0,Male,Produce (fruits & vegetables),Hermanos Gonzales ,1 Photo
51,3.0,1.0,0.0,0.0,0.0,0.0,18.0,"November 9, 2022",2022-11-09 23:19:04 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671105325 19.0712311093),Efectivo,yes,0,más de 10 cuadras,Transporte público,3,0,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,0,Male,Grocery store (aka. nanostore),El León,1 Photo
52,3.0,1.8,5.0,0.0,35.1,56.9,22.0,"November 9, 2022",2022-11-09 23:19:04 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671112031 19.0712238212),Efectivo,yes,0,más de 10 cuadras,Transporte público,3,0,En línea ,no,En línea ,no,En línea ,no,En línea ,no,No lo hago,no,yes,Servicio a domicilio ,Male,Grocery store (aka. nanostore),El León,1 Photo
53,2.0,2.0,1.0,0.0,50.0,50.0,24.0,"November 9, 2022",2022-11-09 23:19:03 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671145558 19.0712269899),Efectivo,yes,0,0 a 3 cuadras,A pie,2,0,No lo hago,no,No lo hago,no,No lo hago,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,yes,Entrega a domicilio ,Male,Grocery store (aka. nanostore),Tontería y tienda “El León”,1 Photo
